Micasense RedEdge Camera Quantum Efficiency
Wavelength_nm,QE_percent
1025.00, 1.429
1026.00, 1.397
1027.00, 1.365
1028.00, 1.333
1029.00, 1.301
1030.00, 1.269
1031.00, 1.236
1032.00, 1.201
1033.00, 1.166
1034.00, 1.132
1035.00, 1.097
1036.00, 1.062
1037.00, 1.028
1038.00, 0.993
1039.00, 0.958
1040.00, 0.924
1041.00, 0.889
1042.00, 0.854
1043.00, 0.820
1044.00, 0.785
1045.00, 0.750
1046.00, 0.716
1047.00, 0.681
1048.00, 0.646
1049.00, 0.612
1050.00, 0.577
1051.00, 0.542
1052.00, 0.509
1053.00, 0.499
1054.00, 0.488
1055.00, 0.478
1056.00, 0.467
1057.00, 0.457
1058.00, 0.446
1059.00, 0.436
1060.00, 0.426
1061.00, 0.415
1062.00, 0.405
1063.00, 0.394
1064.00, 0.382
1065.00, 0.362
1066.00, 0.343
1067.00, 0.324
1068.00, 0.305
1069.00, 0.285
1070.00, 0.266
1071.00, 0.247
1072.00, 0.228
1073.00, 0.208
1074.00, 0.189
1075.00, 0.170
1076.00, 0.151
1077.00, 0.131
1078.00, 0.112
1079.00, 0.093
1080.00, 0.076
1081.00, 0.079
1082.00, 0.082
1083.00, 0.086
1084.00, 0.089
1085.00, 0.092
1086.00, 0.095
1087.00, 0.098
1088.00, 0.101
1089.00, 0.105
1090.00, 0.108
1091.00, 0.111
1092.00, 0.114
1093.00, 0.117
1094.00, 0.121
1095.00, 0.124
1096.00, 0.127
1097.00, 0.130
1098.00, 0.133
1099.00, 0.136
