"wavelength_nm","band","transmission","qe_pct","qe","spectral_response","band_fullname","relative_spectral_response"
424,"re",0.0282282812598171,60.527,0.60527,0.0170857317981295,"red edge",0.046754979830802
424,"nir",0.000912297004292225,60.527,0.60527,0.000552186007787955,"near infrared",0.00312689339949569
425,"blue",0.00239627018192606,60.72,0.6072,0.0014550152544655,"blue",0.00247460439137123
425,"green",0.00733723282129776,60.72,0.6072,0.004455167769092,"green",0.00737608899011934
425,"red",0.0129561605062501,60.72,0.6072,0.00786698065939506,"red",0.0168878035175408
425,"re",0.0169090641840068,60.72,0.6072,0.0102671837725289,"red edge",0.0280960731372525
425,"nir",0.000768746610680739,60.72,0.6072,0.000466782942005345,"near infrared",0.00264327686643264
426,"blue",0.00234544844781458,60.913,0.60913,0.00142868301301729,"blue",0.00242982006342526
426,"green",0.00916957306843456,60.913,0.60913,0.00558546204317554,"green",0.00924743291761452
426,"red",0.0207695196276418,60.913,0.60913,0.0126513374907854,"red",0.0271582340199768
426,"re",0.00644588764710524,60.913,0.60913,0.00392638354248121,"red edge",0.0107445197844437
426,"nir",0.000843856281060615,60.913,0.60913,0.000514018176482452,"near infrared",0.0029107583687289
427,"blue",0.00247415389973982,61.107,0.61107,0.00151188122351401,"blue",0.00257131868786754
427,"green",0.0102968379599566,61.107,0.61107,0.00629208877219068,"green",0.0104173420896489
427,"red",0.0181446556338698,61.107,0.61107,0.0110876547181888,"red",0.0238015246837414
427,"re",0.006155882671147,61.107,0.61107,0.0037616752238578,"red edge",0.0102937966778077
427,"nir",0.000789432554704865,61.107,0.61107,0.000482398551203502,"near infrared",0.00273170421635124
428,"blue",0.00248403737238916,61.3,0.613,0.00152271490927456,"blue",0.00258974398359931
428,"green",0.0128595025063222,61.3,0.613,0.00788287503637551,"green",0.0130510882597237
428,"red",0.0095857171707024,61.3,0.613,0.00587604462564057,"red",0.0126139228497545
428,"re",0.00639345146754733,61.3,0.613,0.00391918574960651,"red edge",0.0107248230770004
428,"nir",0.00142589840388962,61.3,0.613,0.000874075721584337,"near infrared",0.00494967559107555
429,"blue",0.00259744876195893,61.493,0.61493,0.00159724916719141,"blue",0.0027165074669254
429,"green",0.0176071952655088,61.493,0.61493,0.0108271925846193,"green",0.0179257752247541
429,"red",0.00978498906040472,61.493,0.61493,0.00601708332291468,"red",0.0129166862492158
429,"re",0.00639329054308354,61.493,0.61493,0.00393142615365836,"red edge",0.0107583188529687
429,"nir",0.00140429630725008,61.493,0.61493,0.000863543928217292,"near infrared",0.00489003663844039
430,"blue",0.0033050316883231,61.686,0.61686,0.00203874184725899,"blue",0.00346737225786178
430,"green",0.0237601173447461,61.686,0.61686,0.0146566659852801,"green",0.0242659487159817
430,"red",0.0103338461205548,61.686,0.61686,0.00637453631792543,"red",0.0136840195131268
430,"re",0.00285103355701997,61.686,0.61686,0.00175868855998334,"red edge",0.00481263835358139
430,"nir",0.00129065537438183,61.686,0.61686,0.000796153674241176,"near infrared",0.0045084222234131
431,"blue",0.00339543955625582,61.88,0.6188,0.0021010979974111,"blue",0.00357342393156201
431,"green",0.0304254359605743,61.88,0.6188,0.0188272597724034,"green",0.031170889788881
431,"red",0.0153028175254475,61.88,0.6188,0.00946938348474691,"red",0.0203276319907654
431,"re",0.00376710543784512,61.88,0.6188,0.00233108484493856,"red edge",0.00637899659181835
