Wavlength (nm),Band 1,Band 2,Band 3,Band 5,Band 4
777,0.000262897,0.001512136,0.001397771,0.003246308,0.001683608
778,0.000487296,0.00144673,0.001220609,0.003276935,0.001678409
779,0.000788938,0.001498069,0.001634768,0.004556244,0.001515688
780,0.000931626,0.001789579,0.001760829,0.003890632,0.001829381
781,0.00041396,0.00182544,0.001955185,0.003225564,0.001674157
782,0.000318695,0.001837434,0.001187805,0.001554722,0.001700532
783,0.00036751,0.001455098,0.001081709,0.001435344,0.001758275
784,0.000254943,0.001895357,0.001234272,0.003637506,0.001628604
785,0.000266514,0.002427448,0.001457443,0.00337705,0.001899351
786,0.000546552,0.002555197,0.001654455,0.00133632,0.002283265
787,0.00057831,0.002026308,0.002020811,0.003147423,0.002712151
788,0.00070343,0.001710131,0.00212568,0.004262755,0.002610082
789,0.000754035,0.002002857,0.00197206,0.004289927,0.002471287
790,0.000724256,0.001900077,0.001420586,0.005419292,0.002963622
791,0.000349714,0.001887846,0.001869909,0.003108017,0.003134357
792,0.000651823,0.001723504,0.001163838,0.003163966,0.003551915
793,0.000472815,0.002216417,0.001119147,0.002994843,0.004444521
794,0.0005911,0.003098548,0.001425631,0.004666658,0.005094698
795,0.000343512,0.003724565,0.001390012,0.001939655,0.005375764
